"","TITRE","sortie","Y"
"272","EXPENDABLES 3",2014-08-20,1059159
"273","EYJAFJALLOJOKULL",2013-10-02,1770597
"274","FAHRENHEIT 9/11",2004-07-07,2330906
"275","FAILLE (LA)",2007-05-09,1115540
"276","FAMILLE BELIER (LA)",2014-12-17,5351811
"277","FANFAN LA TULIPE",2003-05-14,1248622
"278","FAST & FURIOUS : HOBBS & SHAW",2019-08-07,2459450
"279","FAST & FURIOUS 2",2003-06-18,1787704
"280","FAST & FURIOUS 4",2009-04-08,1783154
"281","FAST & FURIOUS 5",2011-05-04,2520047
"282","FAST & FURIOUS 6",2013-05-22,2990306
"283","FAST & FURIOUS 7",2015-04-01,4631125
"284","FAST & FURIOUS 9",2021-07-14,1987918
"285","FAST AND FURIOUS 8",2017-04-12,3869251
"286","FATAL",2010-06-16,1208484
"287","FAUBOURG 36",2008-09-24,1323826
"288","FAUTEUILS D'ORCHESTRE",2006-02-15,1932474
"289","FEMMES DU 6EME ETAGE (LES)",2011-02-16,2278645
"290","FERDINAND",2017-12-20,2479749
"291","FILLE DU PUISATIER (LA)",2011-04-20,1400903
"292","FILS A JO (LE)",2011-01-12,1200942
"293","FISTON",2014-03-12,1930201
"294","FLEUR DU MAL (LA)",2003-02-19,1039599
"295","FOLLE HISTOIRE DE MAX ET LEON (LA)",2016-11-01,1224730
"296","FRERE DES OURS",2004-01-28,3530471
"297","FRERES GRIMM (LES)",2005-10-05,1486259
"298","GAINSBOURG (VIE HEROÏQUE)",2010-01-20,1197548
"299","GAMINS (LES)",2013-04-17,1646663
"300","GANG DE REQUINS",2004-10-13,2971714
"301","GANGS OF NEW YORK",2003-01-08,2151646
"302","GARÇONS ET GUILLAUME, A TABLE ! (LES)",2013-11-20,2200574
"303","GARFIELD 2",2006-07-19,1273033
"304","GARFIELD, LE FILM",2004-08-11,1215384
"305","GATSBY LE MAGNIFIQUE",2013-05-15,1584540
"306","GET OUT",2017-05-03,1154375
"307","GHOST IN THE SHELL",2017-03-29,1019993
"308","GHOST RIDER",2007-02-21,1067667
"309","GLASS",2019-01-16,1262238
"310","GODZILLA",2014-05-14,1369796
"311","GONE GIRL",2014-10-08,1910838
"312","GOOD BYE LENIN",2003-09-10,1300059
"313","GOTHIKA",2004-01-07,1517077
"314","GRAN TORINO",2009-02-25,3444642
"315","GRAND BAIN (LE)",2018-10-24,4205397
"316","GRAVITY",2013-10-23,4076501
"317","GREEN BOOK SUR LES ROUTES DU SUD",2019-01-23,2094601
"318","GUERRE DES BOUTONS (LA)",2011-09-14,1484494
"319","GUERRE DES MONDES (LA)",2005-07-06,3887768
"320","HANCOCK",2008-07-09,3071387
"321","HAPPINESS THERAPY",2013-01-30,1067637
"322","HAPPY FEET",2006-12-06,1097570
"323","HARRY POTTER ET L'ORDRE DU PHENIX",2007-07-11,6213501
"324","HARRY POTTER ET LA CHAMBRE DES SECRETS",2002-12-04,1585229
"325","HARRY POTTER ET LA COUPE DE FEU",2005-11-30,7036158
"326","HARRY POTTER ET LE PRINCE DE SANG-MELE",2009-07-15,6088244
"327","HARRY POTTER ET LE PRISONNIER D'AZKABAN",2004-06-02,7077448
"328","HARRY POTTER ET LES RELIQUES DE LA MORT (1ÈRE PARTIE)",2010-11-24,5514526
"329","HARRY POTTER ET LES RELIQUES DE LA MORT (2E PARTIE)",2011-07-13,6519839
"330","HIGH SCHOOL MUSICAL 3 : NOS ANNEES LYCEE",2008-10-22,1878728
"331","HITCH EXPERT EN SEDUCTION",2005-03-16,2055664
"332","HOBBIT : LA DESOLATION DE SMAUG (LE)",2013-12-11,3800907
"333","HOBBIT : UN VOYAGE INATTENDU (LE)",2012-12-12,4532980
"334","HOLLYWOO",2011-12-07,1879144
"335","HOMME QUI VOULAIT VIVRE SA VIE (L')",2010-11-03,1179019
"336","HORS DE PRIX",2006-12-13,1214041
"337","HORS NORMES",2019-10-23,2080593
"338","HORTON",2008-04-02,1677939
