"","x"
"742","A9_stamina"
"743","A9_strength"
"744","A9_long_shots"
"745","A9_aggression"
"746","A9_interceptions"
"747","A9_positioning"
"748","A9_vision"
"749","A9_penalties"
"750","A9_marking"
"751","A9_standing_tackle"
"752","A9_sliding_tackle"
"753","A9_gk_diving"
"754","A9_gk_handling"
"755","A9_gk_kicking"
"756","A9_gk_positioning"
"757","A9_gk_reflexes"
"758","H9_height"
"759","H9_weight"
"760","A9_height"
"761","A9_weight"
"762","H10_overall_rating"
"763","H10_potential"
"764","H10_preferred_foot"
"765","H10_attacking_work_rate"
"766","H10_defensive_work_rate"
"767","H10_crossing"
"768","H10_finishing"
"769","H10_heading_accuracy"
"770","H10_short_passing"
"771","H10_volleys"
"772","H10_dribbling"
"773","H10_curve"
"774","H10_free_kick_accuracy"
"775","H10_long_passing"
"776","H10_ball_control"
"777","H10_acceleration"
"778","H10_sprint_speed"
"779","H10_agility"
"780","H10_reactions"
"781","H10_balance"
"782","H10_shot_power"
"783","H10_jumping"
"784","H10_stamina"
"785","H10_strength"
"786","H10_long_shots"
"787","H10_aggression"
"788","H10_interceptions"
"789","H10_positioning"
"790","H10_vision"
"791","H10_penalties"
"792","H10_marking"
"793","H10_standing_tackle"
"794","H10_sliding_tackle"
"795","H10_gk_diving"
"796","H10_gk_handling"
"797","H10_gk_kicking"
"798","H10_gk_positioning"
"799","H10_gk_reflexes"
"800","A10_overall_rating"
"801","A10_potential"
"802","A10_preferred_foot"
"803","A10_attacking_work_rate"
"804","A10_defensive_work_rate"
"805","A10_crossing"
"806","A10_finishing"
"807","A10_heading_accuracy"
"808","A10_short_passing"
"809","A10_volleys"
"810","A10_dribbling"
"811","A10_curve"
"812","A10_free_kick_accuracy"
"813","A10_long_passing"
"814","A10_ball_control"
"815","A10_acceleration"
"816","A10_sprint_speed"
"817","A10_agility"
"818","A10_reactions"
"819","A10_balance"
"820","A10_shot_power"
"821","A10_jumping"
"822","A10_stamina"
"823","A10_strength"
"824","A10_long_shots"
"825","A10_aggression"
"826","A10_interceptions"
"827","A10_positioning"
"828","A10_vision"
"829","A10_penalties"
"830","A10_marking"
"831","A10_standing_tackle"
"832","A10_sliding_tackle"
"833","A10_gk_diving"
"834","A10_gk_handling"
"835","A10_gk_kicking"
"836","A10_gk_positioning"
"837","A10_gk_reflexes"
"838","H10_height"
"839","H10_weight"
"840","A10_height"
"841","A10_weight"
"842","H11_overall_rating"
"843","H11_potential"
"844","H11_preferred_foot"
